Unique Key,Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson,Shelley's Notes,Level,Characters Learned Before,Type,Book
[2.05] 吧 New Word,吧,ba,part.,"used at the end of a sentence to indicate consultation, suggestion, request or command",2.05,,,,New Word,2
[2.08] 白 New Word,白,bái,adj.,white,2.08,,,,New Word,2
[2.14] 百 New Word,百,bǎi,num.,hundred,2.14,,,,New Word,2
[2.10] 帮助 New Word,帮助,bāngzhù,v.,"to help, to assist, to aid",2.10,,,,New Word,2
[2.03] 报纸 New Word,报纸,bàozhǐ,n.,newspaper,2.03,,,,New Word,2
[2.11] 比 New Word,比,bǐ,prep.,"than, (superior or inferior) to",2.11,,,,New Word,2
[2.10] 别 New Word,别,bié,adv.,don't,2.10,,,,New Word,2
[2.13] 宾馆 New Word,宾馆,bīnguǎn,n.,hotel,2.13,,,,New Word,2
[2.04] 长 New Word,长,cháng,adj.,long,2.04,,,,New Word,2
[2.11] 唱歌 New Word,唱歌,chànggē,v.,to sing,2.11,,,,New Word,2
[2.02] 出 New Word,出,chū,v.,to come/go out,2.02,,,,New Word,2
[2.12] 穿 New Word,穿,chuān,v.,"to wear, to put on",2.12,,,,New Word,2
[2.14] 次 New Word,次,cì,m.,time,2.14,,,,New Word,2
[2.09] 从 New Word,从,cóng,prep.,from,2.09,,,,New Word,2
[2.09] 错 New Word,错,cuò,adj.,"wrong, incorrect",2.09,,,,New Word,2
[2.06] 打篮球 New Word,打篮球,dǎlánqiú,,to play basketball,2.06,,,,New Word,2
[2.15] 大家 New Word,大家,dàjiā,pron.,"all, everybody",2.15,,,,New Word,2
[2.14] 但是 New Word,但是,dànshì,conj.,"but, still, yet",2.14,,,,New Word,2
[2.07] 到 New Word,到,dào,v.,"to arrive, to reach",2.07,,,,New Word,2
[2.12] 得 New Word,得,de,part.,used after a verb or an adjective to introduce a complement of result or degree,2.12,,,,New Word,2
[2.08] 等 New Word,等,děng,v.,"to wait, to await",2.08,,,,New Word,2
[2.12] 弟弟 New Word,弟弟,dìdi,n.,young brother,2.12,,,,New Word,2
[2.09] 第一 New Word,第一,dìyī,num.,first,2.09,,,,New Word,2
[2.09] 懂 New Word,懂,dǒng,v.,"to understand, to know",2.09,,,,New Word,2
[2.05] 对 New Word,对,duì,prep.,"(used before a noun or pronoun) to, for",2.05,,,,New Word,2
[2.03] 房间 New Word,房间,fángjiān,n.,room,2.03,,,,New Word,2
[2.04] 非常 New Word,非常,fēicháng,adv.,"very, extremely",2.04,,,,New Word,2
[2.08] 服务员 New Word,服务员,fúwùyuán,n.,"attendant, waiter/waitress",2.08,,,,New Word,2
[2.02] 高 New Word,高,gāo,adj.,"tall, high",2.02,,,,New Word,2
[2.08] 告诉 New Word,告诉,gàosu,v.,to tell,2.08,,,,New Word,2
[2.10] 哥哥 New Word,哥哥,gēge,n.,elder brother,2.10,,,,New Word,2
[2.04] 给 New Word,给,gěi,prep.,"(used after a verb) to, for",2.04,,,,New Word,2
[2.07] 公共汽车 New Word,公共汽车,gōnggòngqìchē,,bus,2.07,,,,New Word,2
[2.07] 公司 New Word,公司,gōngsī,n.,"company, firm",2.07,,,,New Word,2
[2.08] 贵 New Word,贵,guì,adj.,expensive,2.08,,,,New Word,2
[2.05] 还 New Word,还,hái,adv.,"passably, fairly, rather",2.05,,,,New Word,2
[2.11] 孩子 New Word,孩子,háizi,n.,"child, kid",2.11,,,,New Word,2
[2.06] 好吃 New Word,好吃,hǎochī,adj.,"delicious, yummy",2.06,,,,New Word,2
[2.08] 黑 New Word,黑,hēi,adj.,black,2.08,,,,New Word,2
[2.03] 红 New Word,红,hóng,adj.,red,2.03,,,,New Word,2
[2.15] 火车站 New Word,火车站,huǒchēzhàn,n.,railway station,2.15,,,,New Word,2
[2.07] 机场 New Word,机场,jīchǎng,n.,airport,2.07,,,,New Word,2
[2.10] 鸡蛋 New Word,鸡蛋,jīdàn,n.,(hen's) egg,2.10,,,,New Word,2
[2.05] 件 New Word,件,jiàn,m.,(used for clothes among other items) piece,2.05,,,,New Word,2
[2.01] 觉得 New Word,觉得,juéde,v.,"to think, to feel",2.01,,,,New Word,2
[2.07] 教室 New Word,教室,jiàoshì,n.,classroom,2.07,,,,New Word,2
[2.06] 姐姐 New Word,姐姐,jiějie,n.,elder sister,2.06,,,,New Word,2
[2.04] 介绍 New Word,介绍,jièshào,v.,"to introduce, to recommend",2.04,,,,New Word,2
[2.12] 进 New Word,进,jìn,v.,"to enter, to come/go in",2.12,,,,New Word,2
[2.12] 近 New Word,近,jìn,adj.,"near, close",2.12,,,,New Word,2
[2.05] 就 New Word,就,jiù,adv.,used to indicate a conclusion or resolution,2.05,,,,New Word,2
[2.05] 咖啡 New Word,咖啡,kāfēi,n.,coffee,2.05,,,,New Word,2
[2.04] 开始 New Word,开始,kāishǐ,v.,"to begin, to start",2.04,,,,New Word,2
[2.05] 考试 New Word,考试,kǎoshì,n.,"test, exam",2.05,,,,New Word,2
[2.11] 可能 New Word,可能,kěnéng,aux.,"maybe, perhaps, probably",2.11,,,,New Word,2
[2.05] 可以 New Word,可以,kěyǐ,adj.,not bad,2.05,,,,New Word,2
[2.10] 课 New Word,课,kè,n.,"class, lesson",2.10,,,,New Word,2
[2.07] 快 New Word,快,kuài,adj.,"quick, fast",2.07,,,,New Word,2
[2.04] 快乐 New Word,快乐,kuàilè,adj.,"happy, glad",2.04,,,,New Word,2
[2.07] 离 New Word,离,lí,v.,to be away from,2.07,,,,New Word,2
[2.04] 两 New Word,两,liǎng,num.,two,2.04,,,,New Word,2
[2.12] 零 New Word,零,líng,num.,zero,2.12,,,,New Word,2
[2.07] 路 New Word,路,lù,n.,"road, path, way",2.07,,,,New Word,2
[2.01] 旅游 New Word,旅游,lǚyóu,v.,"to travel, to take a trip",2.01,,,,New Word,2
[2.07] 慢 New Word,慢,màn,adj.,slow,2.07,,,,New Word,2
[2.02] 忙 New Word,忙,máng,adj.o,busy,2.02,,,,New Word,2
[2.02] 每 New Word,每,měi,pron.,"every, each",2.02,,,,New Word,2
[2.15] 妹妹 New Word,妹妹,mèimei,n.,younger sister,2.15,,,,New Word,2
[2.06] 门 New Word,门,mén,n.,"door, gate",2.06,,,,New Word,2
[2.06] 面条 New Word,面条,miàntiáo,n.,noodles,2.06,,,,New Word,2
[2.11] 男 New Word,男,nán,adj.,"man, male",2.11,,,,New Word,2
