Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
爱,ài,v.,"to like, to love",12
八,bā,num.,eight,5 (notes)
爸爸,bàba,n.,father,9
杯子,bēizi,n.,"cup, glass",8
本,běn,m.,a measure word for books,10
不客气,bùkèqi,,"you're welcome, don't mention it",2
不,bù,adv.,"nо, not",2
菜,cài,n.,"dish, cuisine",6
茶,chá,n.,tea,8
吃,chī,v.,to eat,8
出租车,chūzūchē,n.,"taxi, cab",15
打电话,dǎdiànhuà,,to make a phone call,13
大,dà,adj.,(of age) old,5
的,de,part.,used after an attribute,4
点,diǎn,m.,o'clock,11
电脑,diànnǎo,n.,computer,10
电视,diànshì,n.,television,13
电影,diànyǐng,n.,"film, movie",11
东西,dōngxi,n.,"thing, stuff",14
都,dōu,adv.,"both, all",14
读,dú,v.,to read,6
对不起,duìbuqǐ,v.,to be sorry,1
多,duō,adv.,indicating degree or extent,5
多少,duōshǎo,pron.,"how many, how much",8
儿子,érzi,n.,son,9
二,èr,num.,two,5 (notes)
饭店,fàndiàn,n.,"hotel, restaurant",15
飞机,fēijī,n.,airplane,15
分钟,fēnzhōng,n.,minute,14
高兴,gāoxìng,adj.,"glad, happy",15
个,gè,m.,a general measure word,8
工作,gōngzuò,v./n.,to work; job,9
狗,gǒu,n.,dog,9
汉语,Hànyǔ,n.,Chinese (language),4
好,hǎo,adj.,"good, fine",1
号,hào,n.,(for date of month) number,7
喝,hē,v.,to drink,8
和,hé,conj.,and,10
很,hěn,adv.,"very, quite",6
后面,hòumian,n.,back,10
回,huí,v.,"to come/go back, to return",11
会,huì,mod.,"can, to be able to",6
几,jǐ,pron.,how many,5
家,jiā,n.,family,5
叫,jiào,v.,"to call, to be called",3
今天,jīntiān,n.,today,7
九,jiǔ,num.,nine,5 (notes)
开,kāi,v.,to drive,14
看,kàn,v.,"to look at, to watch, to read",7
看见,kànjiàn,v.,to see,14
块,kuài,m.,"a unit of money, same as ""yuan""",8
来,lái,v.,to come,12
老师,lǎoshī,n.,teacher,3
了,le,part.,used at the end of or in the middle of a sentence to indicate a change or a new circumstance,5
冷,lěng,adj.,cold,12
里,lǐ,n.,"inner, inside, interior",10
六,liù,num.,six,5 (notes)
妈妈,māma,n.,mother,6
吗,ma,part.,used at the end of a question,3
买,mǎi,v.,"to buy, to purchase",8
猫,māo,n.,cat,9
没关系,méiguānxi,,"that's OK, it doesn't matter",1
没有,méiyǒu,adv.,there is not,10
米饭,mǐfàn,n.,cooked rice,8
名字,míngzi,n.,name,3
明天,míngtiān,n.,tomorrow,7
哪,nǎ,pron.,which,4
哪儿,nǎr,pron.,where,9
那,nà,pron.,that,8
呢,ne,part.,used at the end of a question,4
能,néng,mod.,"can, may",10
你,nǐ,pron.,(singular) you,1
年,nián,n.,year,15
女儿,nǚ'ér,n.,daughter,5
朋友,péngyou,n.,friend,4
漂亮,piàoliang,adj.,"beautiful, pretty",14
苹果,píngguǒ,n.,apple,14
七,qī,num.,seven,5 (notes)
前面,qiánmiàn,n.,front,10
钱,qián,n.,money,8
请,qǐng,v.,(polite) please,7
去,qù,v.,to go,7
热,rè,adj.,hot,12
人,rén,n.,"human, person",3
认识,rènshi,v.,"meet, to know",15
三,sān,num.,three,5 (notes)
商店,shāngdiàn,n.,"shop, store",8
上,shàng,n.,"up, above",10
上午,shàngwǔ,n.,"morning, before noon",13
少,shǎo,adj.,"little, few",14
谁,shuí,pron.,"who, whom",4
什么,shénme,pron.,what,3
十,shí,num.,ten,5 (notes)
时候,shíhou,n.,"time, moment",11
是,shì,v.,to be,3
书,shū,n.,book,7
水,shuǐ,n.,water,12
水果,shuǐguǒ,n.,fruit,12
睡觉,shuìjiào,v.,to sleep,13
说,shuō,v.,"to speak, to say",6
四,sì,num.,four,5 (notes)
岁,suì,m.,year (of age),5
他,tā,pron.,"he, him",4
她,tā,pron.,"she, her",4
太,tài,adv.,"too, excessively",12
天气,tiānqì,n.,weather,12
听,tīng,v.,to listen,15
同学,tóngxué,n.,classmate,4
喂,wèi,int.,"hello, hey",13
我,wǒ,pron.,"I, me",3
我们,wǒmen,pron.,"we, us",11
五,wǔ,num.,five,5 (notes)
喜欢,xǐhuan,v.,"to like, to be fond of",13
下,xià,n.,"under, below",9
下午,xiàwǔ,n.,afternoon,8
下雨,xiàyǔ,,to rain,12
先生,xiānsheng,n.,"Mr., sir",14
现在,xiànzài,n.,now,11
想,xiǎng,mod.,"to want, would like",8
小,xiǎo,adj.,"small, little",9
小姐,xiǎojie,n.,"miss, young lady",12
些,xiē,m.,"some, a few",12
写,xiě,v.,to write,6
谢谢,xièxie,v.,to thank,2
星期,xīngqī,n.,week,7
学生,xuésheng,n.,student,3
学习,xuéxí,v.,"to study, to learn",13
学校,xuéxiào,n.,school,7
一,yī,num.,one,5 (notes)
衣服,yīfu,n.,clothes,14
医生,yīshēng,n.,doctor,9
医院,yīyuàn,n.,hospital,9
椅子,yǐzi,n.,chair,9
一点儿,yīdiǎnr,num.-m.,"a few, a little",14
有,yǒu,v.,"to have, there be",5
月,yuè,n.,month,7
再见,zàijiàn,v.,to see you around,2
在,zài,v./prep.,to be in/on/at; in/on/at,9
怎么,zěnme,pron.,"(indicating nature, condition or manner, etc.) how",6
怎么样,zěnmeyàng,pron.,"(indicating nature, condition or manner) how",12
这,zhè,pron.,this,8
中午,zhōngwǔ,n.,noon,11
住,zhù,v.,"to live, to stay",11
桌子,zhuōzi,n.,"desk, table",10
字,zì,n.,"character, word",6
昨天,zuótiān,n.,yesterday,7
坐,zuò,v.,"to sit, to be seated",10
做,zuò,v.,"to make, to produce",6
