Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
吧,ba,part.,"used at the end of a sentence to indicate consultation, suggestion, request or command",5
白,bái,adj.,white,8
百,bǎi,num.,hundred,14
帮助,bāngzhù,v.,"to help, to assist, to aid",10
报纸,bàozhǐ,n.,newspaper,3
比,bǐ,prep.,"than, (superior or inferior) to",11
别,bié,adv.,don't,10
宾馆,bīnguǎn,n.,hotel,13
长,zhǎng,adj.,long,4
唱歌,chànggē,v.,to sing,11
出,chū,v.,to come/go out,2
穿,chuān,v.,"to wear, to put on",12
次,cì,m.,time,14
从,cóng,prep.,from,9
错,cuò,adj.,"wrong, incorrect",9
打篮球,dǎlánqiú,,to play basketball,6
大家,dàjiā,pron.,"all, everybody",15
但是,dànshì,conj.,"but, still, yet",14
到,dào,v.,"to arrive, to reach",7
得,de,part.,used after a verb or an adjective to introduce a complement of result or degree,12
等,děng,v.,"to wait, to await",8
弟弟,dìdi,n.,young brother,12
第一,dìyī,num.,first,9
懂,dǒng,v.,"to understand, to know",9
对,duì,prep.,"(used before a noun or pronoun) to, for",5
房间,fángjiān,n.,room,3
非常,fēicháng,adv.,"very, extremely",4
服务员,fúwùyuán,n.,"attendant, waiter/waitress",8
高,gāo,adj.,"tall, high",2
告诉,gàosu,v.,to tell,8
哥哥,gēge,n.,elder brother,10
给,gěi,prep.,"(used after a verb) to, for",4
公共汽车,gōnggòngqìchē,,bus,7
公司,gōngsī,n.,"company, firm",7
贵,guì,adj.,expensive,8
还,hái,adv.,"passably, fairly, rather",5
孩子,háizi,n.,"child, kid",11
好吃,hàochī,adj.,"delicious, yummy",6
黑,hēi,adj.,black,8
红,hóng,adj.,red,3
火车站,huǒchēzhàn,n.,railway station,15
机场,jīchǎng,n.,airport,7
鸡蛋,jīdàn,n.,(hen's) egg,10
件,jiàn,m.,(used for clothes among other items) piece,5
觉得,juéde,v.,"to think, to feel",1
教室,jiàoshì,n.,classroom,7
姐姐,jiějie,n.,elder sister,6
介绍,jièshào,v.,"to introduce, to recommend",4
进,jìn,v.,"to enter, to come/go in",12
近,jìn,adj.,"near, close",12
就,jiù,adv.,used to indicate a conclusion or resolution,5
咖啡,kāfēi,n.,coffee,5
开始,kāishǐ,v.,"to begin, to start",4
考试,kǎoshì,n.,"test, exam",5
可能,kěnéng,aux.,"maybe, perhaps, probably",11
可以,kěyǐ,adj.,not bad,5
课,kè,n.,"class, lesson",10
快,kuài,adj.,"quick, fast",7
快乐,kuàilè,adj.,"happy, glad",4
离,lí,v.,to be away from,7
两,liǎng,num.,two,4
零 ,líng ,num.,zero,12
路,lù,n.,"road, path, way",7
旅游,lǚyóu,v.,"to travel, to take a trip",1
慢,màn,adj.,slow,7
忙,máng,adj.o,busy,2
每,měi,pron.,"every, each",2
妹妹,mèimei,n.,younger sister,15
门,mén,n.,"door, gate",6
面条,miàntiáo,n.,noodles,6
男,nán,adj.,"man, male",11
牛奶,niúnǎi,n.,milk,3
女,nǚ,adj.,"woman, female",11
旁边,pángbiān,n.,beside,3
